Price,Close,High,Low,Open,Volume
Ticker,HPG,HPG,HPG,HPG,HPG
Date,,,,,
2023-11-06,19507.6,19621.2,19090.9,19204.5,26900000
2023-11-07,19545.4,19848.5,19280.3,19545.4,26220000
2023-11-08,20416.7,20416.7,19393.9,19545.4,46000000
2023-11-09,20227.3,20757.6,20151.5,20416.7,41400000
2023-11-10,20075.8,20530.3,19962.1,20000,37000000
2023-11-13,20606.1,20909.1,20075.8,20075.8,58080000
2023-11-14,20454.5,20833.3,20227.3,20757.6,30700000
2023-11-15,20454.5,21060.6,20454.5,20871.2,45690000
2023-11-16,20606.1,20606.1,20303,20340.9,21460000
2023-11-17,20075.8,20757.6,19924.2,20606.1,50860000
2023-11-20,20189.4,20378.8,19772.7,19772.7,24090000
2023-11-21,20492.4,20833.3,20416.7,20454.5,35250000
2023-11-22,20606.1,20606.1,20378.8,20454.5,22460000
2023-11-23,19583.3,20719.7,19583.3,20681.8,28620000
2023-11-24,20000,20000,19356.1,19697,34620000
2023-11-27,19924.2,20265.1,19848.5,20075.8,22080000
2023-11-28,20227.3,20227.3,19734.8,20000,24900000
2023-11-29,20454.5,20530.3,20189.4,20227.3,29700000
2023-11-30,20113.6,20606.1,20113.6,20530.3,27990000
2023-12-01,20378.8,20530.3,20037.9,20303,20330000
2023-12-04,20833.3,21022.7,20492.4,20606.1,55890000
2023-12-05,20643.9,20871.2,20568.2,20833.3,29710000
2023-12-06,20909.1,20909.1,20606.1,20643.9,24620000
2023-12-07,20909.1,21136.4,20416.7,20947,65250000
2023-12-08,20984.8,21401.5,20833.3,21060.6,69670000
2023-12-11,20833.3,21060.6,20681.8,20984.8,23560000
2023-12-12,21174.2,21363.6,20833.3,20833.3,41820000
2023-12-13,20719.7,21363.6,20681.8,21287.9,44020000
2023-12-14,20492.4,20871.2,20492.4,20871.2,41950000
2023-12-15,20303,20606.1,20265.1,20530.3,45790000
2023-12-18,20151.5,20454.5,20151.5,20378.8,19640000
2023-12-19,20606.1,20606.1,20113.6,20151.5,27050000
2023-12-20,20606.1,20719.7,20530.3,20606.1,23310000
2023-12-21,20606.1,20681.8,20416.7,20530.3,18890000
2023-12-22,20492.4,20719.7,20492.4,20606.1,23010000
2023-12-25,20795.4,20909.1,20568.2,20568.2,26940000
2023-12-26,21060.6,21136.4,20757.6,20757.6,44540000
2023-12-27,21022.7,21212.1,21022.7,21098.5,26200000
2023-12-28,21174.2,21363.6,20947,21022.7,41330000
2023-12-29,21174.2,21287.9,21060.6,21174.2,27020000
2024-01-02,20795.4,21325.8,20795.4,21287.9,29290000
2024-01-03,21060.6,21060.6,20757.6,20757.6,24520000
2024-01-04,21022.7,21287.9,20984.8,21060.6,50870000
2024-01-05,21060.6,21136.4,20871.2,21022.7,22880000
2024-01-08,21098.5,21401.5,21098.5,21174.2,41240000
2024-01-09,20984.8,21174.2,20833.3,21136.4,37780000
2024-01-10,20719.7,21022.7,20643.9,20984.8,43090000
2024-01-11,20833.3,20947,20757.6,20795.4,20150000
2024-01-12,20568.2,20795.4,20492.4,20719.7,37790000
2024-01-15,20530.3,20795.4,20530.3,20606.1,16500000
2024-01-16,21060.6,21060.6,20492.4,20530.3,26090000
2024-01-17,20947,21174.2,20947,21098.5,30900000
2024-01-18,20947,21098.5,20909.1,20984.8,16680000
2024-01-19,21060.6,21136.4,20909.1,21022.7,19620000
2024-01-22,21439.4,21704.5,21098.5,21212.1,87210000
2024-01-23,21477.3,21590.9,21401.5,21553,28620000
2024-01-24,21401.5,21590.9,21401.5,21439.4,21300000
2024-01-25,21401.5,21515.1,21212.1,21401.5,20100000
2024-01-26,21477.3,21590.9,21401.5,21515.1,18970000
2024-01-29,21212.1,21515.1,21212.1,21477.3,28480000
2024-01-30,21212.1,21287.9,21098.5,21212.1,23140000
2024-01-31,21022.7,21287.9,21022.7,21174.2,32280000
2024-02-01,21098.5,21287.9,20984.8,21022.7,14040000
2024-02-02,21136.4,21287.9,20984.8,20984.8,18690000
2024-02-05,21212.1,21439.4,21136.4,21136.4,21430000
2024-02-06,21250,21401.5,21212.1,21325.8,19350000
2024-02-07,21325.8,21439.4,21250,21250,18230000
2024-02-15,21742.4,21893.9,21401.5,21439.4,48820000
2024-02-16,21666.7,21818.2,21666.7,21780.3,22070000
2024-02-19,22121.2,22272.7,21553,21704.5,55800000
2024-02-20,22121.2,22234.8,22007.6,22121.2,28240000
2024-02-21,21818.2,22083.3,21742.4,22045.4,41690000
2024-02-22,21628.8,21818.2,21628.8,21742.4,29590000
2024-02-23,21515.1,21856.1,21515.1,21628.8,36040000
2024-02-26,21818.2,21818.2,21439.4,21515.1,25370000
2024-02-27,22992.4,23068.2,21818.2,21893.9,114630000
2024-02-28,23181.8,23447,22840.9,23030.3,46470000
2024-02-29,23484.8,23598.5,23106.1,23295.4,44330000
2024-03-01,23371.2,23636.4,23219.7,23636.4,35590000
2024-03-04,23333.3,23787.9,23257.6,23484.8,37720000
2024-03-05,23598.5,23712.1,23257.6,23333.3,39490000
2024-03-06,23333.3,23598.5,23106.1,23560.6,37040000
2024-03-07,23484.8,23750,23181.8,23257.6,42590000
2024-03-08,22954.5,23522.7,22916.7,23484.8,62470000
2024-03-11,22651.5,23181.8,22575.8,22954.5,40150000
2024-03-12,22878.8,23030.3,22575.8,22613.6,39780000
2024-03-13,23333.3,23371.2,22803,22878.8,38760000
2024-03-14,22992.4,23409.1,22916.7,23409.1,40620000
2024-03-15,22803,23257.6,22727.3,22992.4,47290000
2024-03-18,22424.2,22878.8,21969.7,22840.9,66129999
2024-03-19,22575.8,23181.8,22272.7,22348.5,35610000
2024-03-20,22727.3,22803,22537.9,22613.6,17120000
2024-03-21,22916.7,23143.9,22803,22992.4,26360000
2024-03-22,23143.9,23257.6,22878.8,22992.4,49350000
2024-03-25,22878.8,23447,22765.1,23143.9,28180000
2024-03-26,23143.9,23143.9,22803,22878.8,15810000
2024-03-27,23181.8,23560.6,23181.8,23409.1,32110000
2024-03-28,23143.9,23371.2,23068.2,23371.2,25230000
2024-03-29,22916.7,23181.8,22916.7,23181.8,19560000
2024-04-01,22803,22992.4,22689.4,22878.8,27400000
2024-04-02,23030.3,23030.3,22575.8,22651.5,34710000
2024-04-03,22689.4,23068.2,22689.4,22992.4,28370000
2024-04-04,22424.2,22765.1,22386.4,22689.4,34810000
2024-04-05,22310.6,22537.9,22159.1,22310.6,31700000
2024-04-08,22424.2,22575.8,22197,22310.6,22060000
2024-04-09,22651.5,22651.5,22386.4,22424.2,12990000
2024-04-10,22462.1,22803,22462.1,22689.4,14700000
2024-04-11,22651.5,22840.9,22310.6,22310.6,25400000
2024-04-12,22689.4,22803,22613.6,22727.3,18370000
2024-04-15,21590.9,22689.4,21287.9,22613.6,41060000
2024-04-16,21477.3,21628.8,21098.5,21590.9,44120000
2024-04-17,21212.1,21628.8,21136.4,21590.9,20560000
2024-04-19,21060.6,21477.3,20833.3,21060.6,34500000
2024-04-22,21212.1,21363.6,21098.5,21363.6,16360000
2024-04-23,20909.1,21250,20795.4,21212.1,24240000
2024-04-24,21818.2,21931.8,21022.7,21136.4,30430000
2024-04-25,21628.8,21742.4,21439.4,21742.4,14830000
2024-04-26,21515.1,21628.8,21250,21439.4,24160000
2024-05-02,21477.3,21515.1,21250,21515.1,9670000
2024-05-03,21704.5,22045.4,21477.3,21477.3,22060000
2024-05-06,22197,22234.8,21818.2,21856.1,35780000
2024-05-07,22840.9,22878.8,22159.1,22272.7,39780000
2024-05-08,23257.6,23484.8,22537.9,22840.9,45260000
2024-05-09,23068.2,23409.1,22765.1,23409.1,25640000
2024-05-10,23068.2,23219.7,22689.4,23181.8,25060000
2024-05-13,22878.8,23219.7,22803,23143.9,17390000
2024-05-14,22878.8,23257.6,22803,23030.3,20680000
2024-05-15,23636.4,23750,22916.7,22916.7,59550000
2024-05-16,23939.4,24128.8,23825.8,23939.4,36170000
2024-05-17,23939.4,23939.4,23598.5,23939.4,37810000
2024-05-20,24242.4,24356.1,23939.4,23977.3,61370000
2024-05-21,24128.8,24242.4,23825.8,24242.4,27540000
2024-05-22,23712.1,24204.5,23598.5,24128.8,52510000
2024-05-23,24583.3,24583.3,23833.3,24041.7,45440000
2024-05-24,24083.3,24583.3,23750,24416.7,36180000
2024-05-27,24083.3,24416.7,23875,24083.3,18910000
2024-05-28,24291.7,24333.3,24000,24166.7,21080000
2024-05-29,23833.3,24375,23833.3,24250,25920000
2024-05-30,23541.7,23791.7,23333.3,23750,32710000
2024-05-31,23833.3,24000,23375,23666.7,21280000
2024-06-03,24166.7,24250,24000,24000,24760000
2024-06-04,24416.7,24833.3,24166.7,24166.7,47590000
2024-06-05,24375,24583.3,24250,24416.7,23030000
2024-06-06,24416.7,24708.3,24083.3,24375,24990000
2024-06-07,24416.7,24500,24250,24458.3,17860000
2024-06-10,24416.7,24541.7,24291.7,24500,24310000
2024-06-11,24250,24708.3,24208.3,24500,32380000
2024-06-12,24666.7,24666.7,24166.7,24166.7,23140000
2024-06-13,24583.3,24750,24416.7,24708.3,24660000
2024-06-14,24250,24958.3,24250,24583.3,41150000
2024-06-17,24541.7,24958.3,24166.7,24250,41250000
2024-06-18,24500,24750,24500,24583.3,19840000
2024-06-19,24458.3,24625,24375,24583.3,23010000
2024-06-20,24458.3,24500,24125,24375,33330000
2024-06-21,24208.3,24458.3,24166.7,24458.3,17140000
2024-06-24,23916.7,24250,23541.7,24166.7,45420000
2024-06-25,23916.7,24208.3,23750,23833.3,19990000
2024-06-26,24083.3,24333.3,23833.3,23958.3,23700000
2024-06-27,24041.7,24208.3,23916.7,24166.7,12100000
2024-06-28,23583.3,24083.3,23583.3,23958.3,26620000
2024-07-01,23625,23750,23375,23583.3,16270000
2024-07-02,23916.7,24041.7,23541.7,23625,25510000
2024-07-03,23958.3,24250,23916.7,24166.7,20700000
2024-07-04,23916.7,24208.3,23833.3,24041.7,11220000
2024-07-05,23875,24125,23833.3,23916.7,14830000
2024-07-08,24000,24208.3,23875,23916.7,22120000
2024-07-09,24166.7,24333.3,23958.3,24000,27060000
2024-07-10,24125,24583.3,24125,24250,37160000
2024-07-11,24041.7,24375,24041.7,24291.7,17410000
2024-07-12,23750,24125,23708.3,24083.3,21660000
2024-07-15,23708.3,23958.3,23500,23791.7,19550000
2024-07-16,23708.3,23875,23666.7,23750,14790000
2024-07-17,23500,23833.3,23000,23791.7,30660000
2024-07-18,23666.7,23708.3,23375,23500,24570000
2024-07-19,23500,23666.7,23500,23666.7,14240000
2024-07-22,23375,23500,23125,23416.7,22080000
2024-07-23,23166.7,23500,23166.7,23375,18070000
2024-07-24,23083.3,23291.7,22583.3,23125,23080000
2024-07-25,22791.7,23041.7,22750,23000,15980000
2024-07-26,22875,23041.7,22791.7,22791.7,10570000
2024-07-29,23250,23416.7,23000,23041.7,18530000
2024-07-30,23250,23500,23250,23333.3,18650000
2024-07-31,22666.7,23250,22583.3,23250,29140000
2024-08-01,22250,23041.7,22166.7,22916.7,36580000
2024-08-02,22708.3,22750,22083.3,22208.3,21050000
2024-08-05,21625,22375,21500,22333.3,54730000
2024-08-06,21916.7,22041.7,21541.7,21708.3,23710000
2024-08-07,21708.3,22041.7,21625,22041.7,18490000
2024-08-08,21333.3,21750,21291.7,21625,26300000
2024-08-09,21708.3,21750,21416.7,21583.3,14550000
2024-08-12,21541.7,21750,21416.7,21708.3,15090000
2024-08-13,21166.7,21625,21000,21583.3,31490000
2024-08-14,21208.3,21416.7,21083.3,21250,16430000
2024-08-15,21000,21208.3,21000,21208.3,19480000
2024-08-16,21333.3,21416.7,20833.3,21000,43590000
2024-08-19,21541.7,21958.3,21416.7,21500,29310000
2024-08-20,21500,21833.3,21500,21666.7,24540000
2024-08-21,21791.7,21875,21500,21541.7,29770000
2024-08-22,21458.3,21875,21416.7,21833.3,28840000
2024-08-23,21708.3,21708.3,21166.7,21458.3,26890000
2024-08-26,21666.7,22000,21625,21791.7,25970000
2024-08-27,21458.3,21708.3,21416.7,21666.7,14940000
2024-08-28,21416.7,21625,21375,21541.7,22390000
2024-08-29,21333.3,21625,21333.3,21500,19400000
2024-08-30,21250,21458.3,21250,21416.7,21560000
2024-09-04,21041.7,21208.3,20916.7,21083.3,22880000
2024-09-05,20875,21125,20833.3,21125,27080000
2024-09-06,21166.7,21166.7,20625,20875,27420000
2024-09-09,21333.3,21833.3,21083.3,21166.7,39170000
2024-09-10,20958.3,21541.7,20958.3,21458.3,18020000
2024-09-11,21125,21291.7,20875,20958.3,17060000
2024-09-12,20916.7,21291.7,20916.7,21166.7,10840000
2024-09-13,20833.3,21083.3,20833.3,20958.3,14910000
2024-09-16,20708.3,21041.7,20708.3,20833.3,17490000
2024-09-17,21041.7,21041.7,20666.7,20750,15810000
2024-09-18,20916.7,21125,20916.7,21041.7,15880000
2024-09-19,21041.7,21250,21000,21083.3,16410000
2024-09-20,21375,21708.3,21208.3,21250,53510000
2024-09-23,21416.7,21750,21416.7,21500,18620000
2024-09-24,21541.7,21541.7,21375,21416.7,12780000
2024-09-25,21833.3,22000,21708.3,21750,49210000
2024-09-26,21708.3,22041.7,21708.3,21916.7,26090000
2024-09-27,21708.3,21916.7,21583.3,21791.7,36650000
2024-09-30,21958.3,22166.7,21791.7,21833.3,44910000
2024-10-01,22291.7,22500,22208.3,22333.3,45420000
2024-10-02,21916.7,22250,21916.7,22250,25540000
2024-10-03,21833.3,22208.3,21750,22041.7,32159999
2024-10-04,21833.3,22083.3,21750,21833.3,21070000
2024-10-07,22000,22083.3,21833.3,22000,14960000
2024-10-08,22458.3,22583.3,21958.3,22000,45800000
2024-10-09,22916.7,22916.7,22541.7,22625,49940000
2024-10-10,22708.3,23083.3,22708.3,23000,28590000
2024-10-11,22750,22875,22500,22791.7,18910000
2024-10-14,22541.7,22875,22541.7,22791.7,21570000
2024-10-15,22625,22875,22625,22833.3,24190000
2024-10-16,22583.3,22750,22583.3,22625,13950000
2024-10-17,22708.3,22708.3,22291.7,22625,24670000
2024-10-18,22458.3,22750,22458.3,22708.3,19490000
2024-10-21,22291.7,22541.7,22250,22458.3,16670000
2024-10-22,22208.3,22375,22083.3,22208.3,21980000
2024-10-23,22041.7,22250,21958.3,22208.3,16329999
2024-10-24,22041.7,22250,21958.3,22083.3,19080000
2024-10-25,22041.7,22208.3,22041.7,22166.7,11330000
2024-10-28,22291.7,22458.3,22083.3,22083.3,14320000
2024-10-29,22541.7,22625,22250,22333.3,18880000
2024-10-30,22500,22583.3,22333.3,22541.7,13280000
2024-10-31,22416.7,22541.7,22333.3,22541.7,15990000
2024-11-01,22125,22375,22041.7,22333.3,15840000
2024-11-04,21916.7,22125,21791.7,22125,21970000
2024-11-05,22083.3,22125,21833.3,21916.7,9710000
2024-11-06,22458.3,22625,22125,22208.3,25190000
2024-11-07,22458.3,22750,22458.3,22583.3,19180000
2024-11-08,22500,22916.7,22500,22666.7,29720000
2024-11-11,23083.3,23083.3,22458.3,22541.7,49050000
2024-11-12,22916.7,23250,22750,23125,28760000
2024-11-13,22541.7,22833.3,22375,22666.7,26750000
2024-11-14,21916.7,22583.3,21916.7,22541.7,31880000
2024-11-15,21583.3,21958.3,21583.3,21916.7,33130000
2024-11-18,21500,21708.3,21250,21666.7,24720000
2024-11-19,21208.3,21666.7,21208.3,21541.7,19010000
2024-11-20,21333.3,21666.7,21041.7,21166.7,27300000
2024-11-21,21541.7,21625,21291.7,21375,15330000
2024-11-22,21750,21875,21541.7,21583.3,20720000
2024-11-25,21916.7,21916.7,21708.3,21750,15400000
2024-11-26,21958.3,22083.3,21833.3,21916.7,15820000
2024-11-27,21916.7,22041.7,21750,21958.3,9560000
2024-11-28,22000,22291.7,21916.7,22041.7,16960000
2024-11-29,22291.7,22291.7,21916.7,22041.7,16649999
2024-12-02,22416.7,22625,22291.7,22458.3,22290000
2024-12-03,22500,22500,22166.7,22375,18970000
2024-12-04,22250,22375,22208.3,22375,15010000
2024-12-05,23208.3,23208.3,22000,22250,53700000
